timestamp,temperature_outside,humidity_outside,wind_speed,rain,heat_index
2023-01-01 00:00:00,18.57,62.71,5.74,0,18.568510922735726
2023-01-01 01:00:00,17.04,64.02,1.22,0,17.038440014964117
2023-01-01 02:00:00,18.58,66.53,0.72,0,18.57921281550739
2023-01-01 03:00:00,16.8,65.57,2.24,0,16.803119003752503
2023-01-01 04:00:00,18.31,59.16,3.76,0,18.313759041290524
2023-01-01 05:00:00,18.33,61.24,2.94,0,18.330314630173195
2023-01-01 06:00:00,22.47,57.05,2.36,0,22.465648768921554
2023-01-01 07:00:00,22.39,54.1,4.84,0,22.385064914654652
2023-01-01 08:00:00,24.4,49.42,5.37,0,24.399361310081193
2023-01-01 09:00:00,27.06,44.0,0.94,0,27.12
2023-01-01 10:00:00,29.82,40.06,3.06,0,29.49
2023-01-01 11:00:00,29.33,39.79,9.34,0,28.93
2023-01-01 12:00:00,32.67,37.35,1.52,0,32.76
2023-01-01 13:00:00,32.61,34.91,3.51,0,32.25
2023-01-01 14:00:00,32.54,37.11,2.87,0,32.53
2023-01-01 15:00:00,33.05,34.74,1.39,0,32.83
2023-01-01 16:00:00,31.25,38.23,0.37,0,30.98
2023-01-01 17:00:00,31.69,41.26,6.07,0,32.05
2023-01-01 18:00:00,28.16,41.88,7.05,0,27.94
2023-01-01 19:00:00,26.59,45.75,3.05,0,26.591378122974877
2023-01-01 20:00:00,25.81,52.71,7.39,0,25.8125258223942
2023-01-01 21:00:00,23.29,52.59,5.98,0,23.291083664227468
2023-01-01 22:00:00,20.96,60.63,4.3,0,20.964173960890047
2023-01-01 23:00:00,19.43,60.01,3.07,0,19.43019281874579
2023-01-02 00:00:00,17.85,63.7,3.63,0,17.85212488188698
2023-01-02 01:00:00,16.46,63.49,8.15,0,16.464099786794264
2023-01-02 02:00:00,17.92,65.66,6.38,0,17.915402117702072
2023-01-02 03:00:00,17.37,66.43,6.42,0,17.369670939035494
2023-01-02 04:00:00,17.37,62.34,2.54,0,17.369743675847136
2023-01-02 05:00:00,19.64,61.13,0.42,0,19.639266027572198
2023-01-02 06:00:00,19.58,56.66,1.79,0,19.584629257949587
